X,ND5,ND10,ND15,ND20,ND25,ND30,ND35,ND40,ND45,ND50,ND55
t5 d7 c6,488257,488330,488305,488126,488212,488223,488059,488108,488318,488338,488241
t5 d7 c7,500863,500801,500739,500753,500851,500809,500830,500566,500813,500697,500874
t6 d1 c0,117982,118017,118003,118054,118035,118023,118004,118058,118065,118033,117971
t6 d1 c1,199176,199117,199084,199037,199141,199176,199133,199156,199199,199109,199141
t6 d2 c0,199000,199084,199055,199083,199078,199090,199165,199037,199127,199122,199011
t6 d2 c1,261715,261724,261804,261740,261684,261675,261788,261849,261683,261727,261756
t6 d2 c2,309760,309687,309923,309548,309627,309571,309519,309622,309540,309716,309578
t6 d3 c0,261774,261757,261735,261757,261588,261679,261820,261702,261747,261723,261847
t6 d3 c1,309609,309589,309669,309699,309671,309642,309559,309670,309690,309629,309534
t6 d3 c2,343202,343341,343295,343178,343189,343089,343089,343258,343308,343014,343124
t6 d3 c3,363187,362942,363104,362959,362876,363005,363060,363013,363130,363142,362907
t6 d4 c0,309674,309705,309632,309568,309602,309593,309511,309635,309784,309712,309593
t6 d4 c1,343199,343290,343287,343141,343244,343361,343158,343248,343339,343121,343338
t6 d4 c2,363173,363088,363032,362909,363077,362946,363100,363018,362891,362941,363012
t6 d4 c3,405653,405570,405349,405130,405594,405567,405573,405466,405417,405373,405553
t6 d4 c4,439924,440086,440133,440030,440038,439968,440219,440039,440047,439968,440157
t6 d5 c0,343286,343441,343186,343104,343122,343298,343255,343502,343049,343153,343253
t6 d5 c1,363014,362841,362986,363159,363098,362857,363098,363139,363042,362831,362866
t6 d5 c2,405434,405455,405254,405400,405321,405336,405481,405329,405555,405260,405429
t6 d5 c3,440023,440032,439950,439897,439869,440172,439924,439822,439965,439925,439884
t6 d5 c4,468621,468824,468748,468719,468771,468824,468749,468658,468727,468530,468796
t6 d5 c5,493211,493334,493355,493199,493417,493241,493252,493272,493274,493266,493210
t6 d6 c0,362985,362973,363040,362889,362993,362981,362904,363027,362956,362884,362888
t6 d6 c1,405299,405551,405312,405449,405398,405489,405514,405570,405490,405468,405515
t6 d6 c2,439979,439927,440076,439986,440103,440092,439936,439859,439967,440008,440087
t6 d6 c3,468900,468860,468776,468702,468712,468967,468868,468714,468865,468713,468772
t6 d6 c4,493532,493258,493161,493313,493332,493357,493210,493167,493133,493200,493232
t6 d6 c5,514403,514767,514707,514608,514618,514561,514520,514627,514519,514659,514614
t6 d6 c6,533523,533541,533764,533463,533427,533531,533435,533439,533770,533693,533251
t6 d7 c0,405320,405290,405510,405495,405487,405410,405438,405417,405635,405347,405557
